Duncan,Abelha,M,423,1000691,SEWANEE,TN,37375,M,Y,52000,0.0,0,0,0,0,False
Aditya,Guggino,M,559,1000337,CAMPO SECO,CA,95226,M,Y,31000,6.82662,0,174,272,1,False
Weixiong,Coluccini,M,410,1000843,HYATTSVILLE,MD,20784,S,Y,59500,4.75,2400,0,2400,2,False
Haruhiko,Wesselkamper,F,860,1001225,EAST LYME,CT,6333,M,Y,500,3.0,0,24500,0,3,False
Myong,Rios,M,479,1003994,GRAVETTE,AR,72736,M,N,12000,3.055934,0,40,0,4,False
Guijun,Ferhatosmanoglu,F,409,1000246,LEAGUE CITY,TX,77573,S,Y,92000,0.0,0,0,0,5,False
Perla,Danlos,F,939,1001964,SALINAS,PR,751,M,Y,36500,0.0,0,0,0,6,False
Grigory,Rettinger,M,605,1016514,OGLALA,SD,57764,M,Y,60500,0.0,0,0,0,7,False
Ariel,Goni,F,304,1004828,HUNTINGTON,WV,25701,S,N,94500,6.5,2000,0,0,8,False
Goce,Isles,F,302,1004807,WILMINGTON,DE,19802,M,N,97500,5.95,0,220,0,9,False
Femi,O'Reagan,F,443,1001479,CURTIS BAY,MD,21226,S,Y,53500,4.75,2400,0,2400,10,False
Kobbi,Comparetto,F,603,1011611,HAMPTON,NH,3842,S,Y,40500,0.0,0,0,0,11,False
Kazuki,Rullman,F,207,1004400,HUDSON,ME,4449,S,Y,60000,8.5,2850,0,2850,12,False
Yashishi,Giese,F,831,1000570,BUTTE CITY,CA,95920,M,Y,12500,2.4591928,0,174,272,13,False
Valmir,Ravindranathan,F,701,1006943,SUTTON,ND,58484,M,N,73000,2.6019442,0,6600,0,14,False
Kow,Sevcikova,M,801,1002762,GLENWOOD,UT,84730,M,Y,18000,7.0,0,4950,2475,15,False
Valentyn,Demner,M,304,1016532,MIDDLEBOURNE,WV,26149,S,N,3500,3.0,2000,0,0,16,False
Drago,Dowell,M,605,1014023,SIOUX FALLS,SD,57101,S,Y,40500,0.0,0,0,0,17,False
Adriano,Bourcier,F,802,1003314,SOUTH BARRE,VT,5670,M,Y,68000,4.358017,0,6600,3300,18,False
Marcello,Horndasch,F,765,1001952,COAL CITY,IN,47427,S,Y,22500,3.4,1000,0,1000,19,False
Neila,Perritt,F,208,1013637,FISH HAVEN,ID,83287,S,Y,83000,7.8,3300,0,3300,20,False
Hanpei,Verhoosel,F,515,1001972,DAVENPORT,IA,52807,S,N,94000,8.98,40,0,0,21,False
Kexiang,Bowhill,M,505,1012767,MEDANALES,NM,87548,M,N,75500,5.3,0,6600,0,22,False
Vaclav,Koshkin,M,423,1001950,MEMPHIS,TN,38177,M,Y,12000,0.0,0,0,0,23,False
Kadir,Nour,M,207,1002502,SQUIRREL ISLAND,ME,4570,M,N,65500,8.5,0,5700,0,24,False
Liya,Caugne,F,907,1010384,MOOSE PASS,AK,99631,S,N,10500,0.0,0,0,0,25,False
Shachindra,Siliprandi,F,906,1000990,UBLY,MI,48475,M,Y,75500,3.9,0,6200,3100,26,False
Madanpal,Rado,M,571,1001426,SEDLEY,VA,23878,S,Y,18000,5.75,900,0,900,27,False
Ardie,Gaudioso,M,435,1005355,BLUEBELL,UT,84007,M,Y,19000,7.0,0,4950,2475,28,False
Pai,Menyhert,F,856,1000247,JERSEY CITY,NJ,7399,M,Y,39500,1.7075311999999998,0,2000,1500,29,False
Juhnyong,Dniestrowski,F,785,1002370,ELBING,KS,67041,M,N,92500,6.45,0,4500,0,30,False
Jorge,Wartelle,M,304,1016897,DUNMORE,WV,24934,S,N,59500,6.465,2000,0,0,31,False
Lex,Bodendorf,M,318,1000925,CONVERSE,LA,71419,S,N,69000,6.0,4500,0,0,32,False
Breck,Iacobetz,F,406,1018693,ABSAROKEE,MT,59001,S,N,35500,6.9,1900,0,0,33,False
Gwendal,Bokhari,F,808,1016382,HONOLULU,HI,96827,S,Y,37000,7.709210400000001,1040,0,1040,34,False
Salwa,Engelmann,M,915,1000050,CORPUS CHRISTI,TX,78470,S,N,25000,0.0,0,0,0,35,False
Bertil,Castells,M,605,1002764,BELLE FOURCHE,SD,57717,S,N,50000,0.0,0,0,0,36,False
Tetsushi,Batliner,F,320,1002404,FREEPORT,MN,56331,S,Y,99000,7.85,3300,0,3300,37,False
Marinette,Posthoff,F,954,1000051,EDGEWATER,FL,32132,M,Y,89000,0.0,0,0,0,38,False
Dinabandhu,Guyton,F,203,1000536,HARTFORD,CT,6151,M,N,86000,5.0,0,24500,0,39,False
M'Lissa,Kermarrec,M,405,1003120,PURCELL,OK,73080,S,Y,43500,6.25,1000,0,1000,40,False
Jik,Joobbani,M,239,1000263,CLEARWATER,FL,33769,M,N,50000,0.0,0,0,0,41,False
